conv_id,turn_id,num_unique_titles,num_retrieved_documents
hobby_level1_dial7,6,87,100
hobby_level2_dial3,1,26,100
hobby_level2_dial3,2,28,100
hobby_level2_dial3,3,41,100
hobby_level2_dial3,4,47,100
hobby_level2_dial3,5,54,100
hobby_level2_dial3,6,57,100
food_level3_dial10,1,92,100
food_level3_dial10,2,41,100
food_level3_dial10,3,34,100
food_level3_dial10,4,16,100
food_level3_dial10,5,28,100
food_level3_dial10,6,52,100
food_level1_dial4,1,56,100
food_level1_dial4,2,39,100
food_level1_dial4,3,52,100
food_level1_dial4,4,30,100
food_level1_dial4,5,27,100
food_level1_dial4,6,21,100
food_level3_dial6,1,37,100
food_level3_dial6,2,23,100
food_level3_dial6,3,17,100
food_level3_dial6,4,17,100
food_level3_dial6,5,21,100
food_level3_dial6,6,30,100
top25_dial31,1,14,100
top25_dial31,2,36,100
top25_dial31,3,15,100
top25_dial31,4,13,100
top25_dial31,5,77,100
top25_dial31,6,55,100
top25_dial10,1,39,100
top25_dial10,2,29,100
top25_dial10,3,85,100
top25_dial10,4,7,100
top25_dial10,5,26,100
top25_dial10,6,41,100
food_level2_dial23,1,23,100
food_level2_dial23,2,37,100
food_level2_dial23,3,10,100
food_level2_dial23,4,18,100
food_level2_dial23,5,15,100
food_level2_dial23,6,9,100
hobby_level3_dial24,1,39,100
hobby_level3_dial24,2,38,100
hobby_level3_dial24,3,66,100
hobby_level3_dial24,4,39,100
hobby_level3_dial24,5,62,100
hobby_level3_dial24,6,37,100
hobby_level2_dial30,1,55,100
hobby_level2_dial30,2,38,100
hobby_level2_dial30,3,50,100
hobby_level2_dial30,4,64,100
hobby_level2_dial30,5,39,100
hobby_level2_dial30,6,81,100
top25_dial58,1,13,100
top25_dial58,2,7,100
top25_dial58,3,15,100
top25_dial58,4,21,100
top25_dial58,5,29,100
top25_dial58,6,74,100
top25_dial58,7,73,100
hobby_level1_dial8,1,31,100
hobby_level1_dial8,2,57,100
hobby_level1_dial8,3,61,100
top25_dial32,1,11,100
top25_dial32,2,63,100
top25_dial32,3,21,100
top25_dial32,4,32,100
top25_dial32,5,49,100
top25_dial32,6,17,100
food_level1_dial5,1,11,100
food_level1_dial5,2,23,100
food_level1_dial5,3,31,100
food_level1_dial5,4,42,100
food_level1_dial5,5,29,100
food_level1_dial5,6,28,100
top25_dial11,1,36,100
top25_dial11,2,16,100
top25_dial11,3,19,100
top25_dial11,4,41,100
top25_dial11,5,41,100
top25_dial11,6,45,100
food_level3_dial7,1,15,100
food_level3_dial7,2,21,100
food_level3_dial7,3,54,100
food_level3_dial7,4,35,100
food_level3_dial7,5,52,100
food_level3_dial7,6,47,100
hobby_level2_dial31,1,49,100
hobby_level2_dial31,2,37,100
hobby_level2_dial31,3,38,100
hobby_level2_dial31,4,28,100
hobby_level2_dial31,5,42,100
hobby_level2_dial31,6,83,100
hobby_level1_dial9,1,25,100
hobby_level1_dial9,2,27,100
hobby_level1_dial9,3,23,100
hobby_level1_dial9,4,44,100
hobby_level1_dial9,5,22,100
hobby_level1_dial9,6,31,100
food_level3_dial11,1,38,100
food_level3_dial11,2,30,100
food_level3_dial11,3,38,100
food_level3_dial11,4,38,100
food_level3_dial11,5,25,100
food_level3_dial11,6,26,100
top25_dial59,1,55,100
top25_dial59,2,67,100
top25_dial59,3,58,100
top25_dial59,4,66,100
top25_dial59,5,62,100
top25_dial59,6,73,100
food_level1_dial6,1,47,100
food_level1_dial6,2,89,100
food_level1_dial6,3,44,100
food_level1_dial6,4,33,100
food_level1_dial6,5,58,100
food_level1_dial6,6,55,100
hobby_level2_dial32,1,33,100
hobby_level2_dial32,2,46,100
hobby_level2_dial32,3,65,100
hobby_level2_dial32,4,41,100
hobby_level2_dial32,5,31,100
hobby_level2_dial32,6,34,100
food_level3_dial12,1,29,100
food_level3_dial12,2,31,100
food_level3_dial12,3,61,100
food_level3_dial12,4,42,100
food_level3_dial12,5,43,100
food_level3_dial12,6,35,100
food_level3_dial12,7,27,100
food_level3_dial8,1,24,100
food_level3_dial8,2,30,100
food_level3_dial8,3,47,100
food_level3_dial8,4,53,100
food_level3_dial8,5,30,100
food_level3_dial8,6,27,100
food_level1_dial7,1,58,100
food_level1_dial7,2,48,100
food_level1_dial7,3,47,100
hobby_level2_dial33,1,61,100
hobby_level2_dial33,2,37,100
hobby_level2_dial33,3,45,100
hobby_level2_dial33,4,56,100
hobby_level2_dial33,5,61,100
hobby_level2_dial33,6,85,100
food_level3_dial13,1,33,100
food_level3_dial13,2,49,100
food_level3_dial13,3,35,100
food_level3_dial13,4,47,100
food_level3_dial13,5,24,100
food_level3_dial13,6,58,100
food_level2_dial24,1,22,100
food_level2_dial24,2,18,100
food_level2_dial24,3,17,100
food_level2_dial24,4,28,100
food_level2_dial24,5,55,100
food_level2_dial24,6,65,100
food_level3_dial14,1,69,100
food_level3_dial14,2,52,100
food_level3_dial14,3,82,100
food_level3_dial14,4,63,100
food_level3_dial14,5,37,100
food_level3_dial14,6,60,100
top25_dial33,1,40,100
top25_dial33,2,62,100
top25_dial33,3,85,100
top25_dial33,4,72,100
top25_dial33,5,71,100
top25_dial33,6,82,100
