conv_id,turn_id,num_retrieved_docs,num_evidence_docs,num_prev_evidence_docs,found_ratio,ndcg@1,ndcg@5,ndcg@10,ndcg@20,ndcg@50
food_level3_dial31,3,100,1,2,1,0.0,0.6309297535714575,0.6309297535714575,0.6309297535714575,0.6309297535714575
food_level3_dial31,4,100,1,3,1,1.0,1.0,1.0,0.7527425666302089,0.7527425666302089
food_level3_dial31,5,100,2,4,1,0.0,0.0,0.0,0.0,0.19823986317056053
food_level3_dial31,6,100,1,5,1,0.0,0.0,0.0,0.26264953503719357,0.26264953503719357
hobby_level1_dial2,1,100,1,0,1,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
hobby_level1_dial2,2,100,1,1,1,1.0,1.0,1.0,1.0,1.0
hobby_level1_dial2,3,100,3,2,1,0.0,0.0,0.2890648263178879,0.33052608497541236,0.35820451108543166
hobby_level1_dial2,4,100,3,4,1,1.0,0.8854598815714874,0.8854598815714874,0.8854598815714874,0.8854598815714874
hobby_level1_dial2,5,100,1,7,1,0.0,0.5437713091520254,0.5437713091520254,0.5605989885271987,0.5605989885271987
hobby_level1_dial2,6,100,2,8,1,0.0,0.0,0.0,0.0,0.20184908658209985
food_level2_dial14,1,100,1,0,1,1.0,1.0,1.0,1.0,1.0
food_level2_dial14,2,100,0,1,0,0.0,0.0,0.0,0.0,0.0
food_level2_dial14,3,100,1,1,1,1.0,1.0,1.0,1.0,1.0
food_level2_dial14,4,100,2,2,1,0.0,0.6934264036172708,0.6934264036172708,0.6558817590401234,0.6558817590401234
food_level2_dial14,5,100,2,3,1,0.0,0.5437713091520254,0.5437713091520254,0.5437713091520254,0.5072169737985845
food_level2_dial14,6,100,1,5,1,1.0,1.0,0.7903864795495061,0.7903864795495061,0.7903864795495061
hobby_level3_dial38,1,100,1,0,1,0.0,0.38685280723454163,0.38685280723454163,0.38685280723454163,0.38685280723454163
hobby_level3_dial38,2,100,1,1,1,0.0,0.43067655807339306,0.43067655807339306,0.43067655807339306,0.43067655807339306
hobby_level3_dial38,3,100,1,2,1,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
hobby_level3_dial38,4,100,1,3,1,1.0,1.0,0.9217868789962071,0.9217868789962071,0.9217868789962071
hobby_level3_dial38,5,100,2,4,1,0.0,0.5,0.5,0.5,0.43860765766902465
hobby_level3_dial38,6,100,1,6,1,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
hobby_level2_dial23,1,100,3,0,1,0.0,0.38685280723454163,0.38685280723454163,0.4028934785345258,0.40138855980535243
hobby_level2_dial23,2,100,1,3,1,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
hobby_level2_dial23,3,100,3,4,1,0.0,0.5012658353418871,0.5249161118977292,0.5249161118977292,0.5151471469241303
hobby_level2_dial23,4,100,2,5,1,0.0,0.6509209298071326,0.6394562303262419,0.6394562303262419,0.6014741195236625
hobby_level2_dial23,5,100,1,9,1,1.0,1.0,1.0,0.7065681378142473,0.6400355371991794
hobby_level2_dial23,6,100,1,10,1,1.0,0.8503449055347546,0.8503449055347546,0.7248363741800778,0.6988509095543397
hobby_level3_dial11,1,100,1,0,1,0.0,0.0,0.0,0.0,0.0
hobby_level3_dial11,2,100,1,1,1,0.0,0.0,0.0,0.0,0.0
hobby_level3_dial11,3,100,1,2,1,1.0,0.8503449055347546,0.7988614740430418,0.7988614740430418,0.7988614740430418
hobby_level3_dial11,4,100,1,3,1,0.0,0.0,0.0,0.0,0.0
hobby_level3_dial11,5,100,1,4,1,0.0,0.5,0.5,0.5,0.4421188146690532
hobby_level3_dial11,6,100,1,5,1,1.0,1.0,1.0,1.0,0.7254569047641046
hobby_level3_dial11,7,100,0,6,0,0.0,0.0,0.0,0.0,0.0
food_level1_dial15,1,100,1,0,1,1.0,1.0,1.0,1.0,1.0
